Nano Seconds,Value_of_n
7459ns,1000000 n
7417ns,1000001 n
4250ns,1000002 n
3250ns,1000003 n
6459ns,1000004 n
4666ns,1000005 n
3667ns,1000006 n
4000ns,1000007 n
4084ns,1000008 n
5833ns,1000009 n
3958ns,1000010 n
3583ns,1000011 n
4000ns,1000012 n
6000ns,1000013 n
3500ns,1000014 n
5125ns,1000015 n
3375ns,1000016 n
3959ns,1000017 n
3083ns,1000018 n
4042ns,1000019 n
3958ns,1000020 n
3083ns,1000021 n
4459ns,1000022 n
3209ns,1000023 n
3083ns,1000024 n
3417ns,1000025 n
4250ns,1000026 n
3709ns,1000027 n
3084ns,1000028 n
4416ns,1000029 n
3625ns,1000030 n
5416ns,1000031 n
3542ns,1000032 n
3167ns,1000033 n
5375ns,1000034 n
5666ns,1000035 n
3709ns,1000036 n
3125ns,1000037 n
3250ns,1000038 n
3208ns,1000039 n
3541ns,1000040 n
3416ns,1000041 n
3958ns,1000042 n
5334ns,1000043 n
3750ns,1000044 n
3167ns,1000045 n
3833ns,1000046 n
3333ns,1000047 n
3667ns,1000048 n
7666ns,1000049 n
4750ns,1000050 n
4167ns,1000051 n
3084ns,1000052 n
4583ns,1000053 n
6208ns,1000054 n
3375ns,1000055 n
3541ns,1000056 n
4000ns,1000057 n
2916ns,1000058 n
3167ns,1000059 n
3750ns,1000060 n
4125ns,1000061 n
3667ns,1000062 n
4209ns,1000063 n
3375ns,1000064 n
3083ns,1000065 n
4584ns,1000066 n
6584ns,1000067 n
3208ns,1000068 n
3166ns,1000069 n
3875ns,1000070 n
3625ns,1000071 n
3958ns,1000072 n
5459ns,1000073 n
3167ns,1000074 n
3958ns,1000075 n
2917ns,1000076 n
3084ns,1000077 n
6834ns,1000078 n
6750ns,1000079 n
3417ns,1000080 n
2959ns,1000081 n
2958ns,1000082 n
3375ns,1000083 n
3459ns,1000084 n
2958ns,1000085 n
3375ns,1000086 n
3292ns,1000087 n
3625ns,1000088 n
3542ns,1000089 n
4000ns,1000090 n
3166ns,1000091 n
3167ns,1000092 n
4125ns,1000093 n
4542ns,1000094 n
5667ns,1000095 n
2833ns,1000096 n
3375ns,1000097 n
3583ns,1000098 n
2958ns,1000099 n
3958ns,1000100 n
3292ns,1000101 n
5250ns,1000102 n
2917ns,1000103 n
3291ns,1000104 n
4917ns,1000105 n
4417ns,1000106 n
3625ns,1000107 n
3000ns,1000108 n
4292ns,1000109 n
3292ns,1000110 n
3416ns,1000111 n
2750ns,1000112 n
5875ns,1000113 n
2917ns,1000114 n
3291ns,1000115 n
3792ns,1000116 n
3042ns,1000117 n
3542ns,1000118 n
6375ns,1000119 n
3416ns,1000120 n
2875ns,1000121 n
3625ns,1000122 n
3417ns,1000123 n
3084ns,1000124 n
3834ns,1000125 n
4459ns,1000126 n
3375ns,1000127 n
3250ns,1000128 n
6459ns,1000129 n
4000ns,1000130 n
3416ns,1000131 n
2792ns,1000132 n
2958ns,1000133 n
3375ns,1000134 n
5417ns,1000135 n
2875ns,1000136 n
4792ns,1000137 n
2916ns,1000138 n
3334ns,1000139 n
5541ns,1000140 n
3250ns,1000141 n
2916ns,1000142 n
3458ns,1000143 n
2750ns,1000144 n
3292ns,1000145 n
3417ns,1000146 n
3584ns,1000147 n
2917ns,1000148 n
3250ns,1000149 n
4750ns,1000150 n
3083ns,1000151 n
3167ns,1000152 n
3125ns,1000153 n
4125ns,1000154 n
3500ns,1000155 n
4208ns,1000156 n
8250ns,1000157 n
3209ns,1000158 n
3125ns,1000159 n
3458ns,1000160 n
3792ns,1000161 n
5125ns,1000162 n
5417ns,1000163 n
3500ns,1000164 n
3000ns,1000165 n
3125ns,1000166 n
5084ns,1000167 n
4500ns,1000168 n
5791ns,1000169 n
3292ns,1000170 n
2958ns,1000171 n
2959ns,1000172 n
3458ns,1000173 n
6291ns,1000174 n
3417ns,1000175 n
5209ns,1000176 n
5250ns,1000177 n
3416ns,1000178 n
3875ns,1000179 n
4750ns,1000180 n
3042ns,1000181 n
4417ns,1000182 n
2959ns,1000183 n
2708ns,1000184 n
4792ns,1000185 n
3500ns,1000186 n
2959ns,1000187 n
3916ns,1000188 n
5542ns,1000189 n
3375ns,1000190 n
3167ns,1000191 n
2792ns,1000192 n
2791ns,1000193 n
49167ns,1000194 n
4750ns,1000195 n
3167ns,1000196 n
3875ns,1000197 n
3458ns,1000198 n
3083ns,1000199 n
3458ns,1000200 n
3291ns,1000201 n
3375ns,1000202 n
4834ns,1000203 n
2959ns,1000204 n
3459ns,1000205 n
5750ns,1000206 n
3875ns,1000207 n
3166ns,1000208 n
3458ns,1000209 n
3667ns,1000210 n
3000ns,1000211 n
3500ns,1000212 n
2916ns,1000213 n
3041ns,1000214 n
4375ns,1000215 n
4667ns,1000216 n
5500ns,1000217 n
3417ns,1000218 n
4416ns,1000219 n
3042ns,1000220 n
4208ns,1000221 n
3000ns,1000222 n
4708ns,1000223 n
3208ns,1000224 n
3250ns,1000225 n
3084ns,1000226 n
5375ns,1000227 n
3000ns,1000228 n
2625ns,1000229 n
3500ns,1000230 n
3042ns,1000231 n
2833ns,1000232 n
4000ns,1000233 n
4542ns,1000234 n
6791ns,1000235 n
4208ns,1000236 n
4333ns,1000237 n
3166ns,1000238 n
3292ns,1000239 n
3083ns,1000240 n
3208ns,1000241 n
3750ns,1000242 n
4584ns,1000243 n
4416ns,1000244 n
3166ns,1000245 n
2750ns,1000246 n
5042ns,1000247 n
5708ns,1000248 n
2917ns,1000249 n
3583ns,1000250 n
4000ns,1000251 n
5583ns,1000252 n
2875ns,1000253 n
3917ns,1000254 n
3209ns,1000255 n
3375ns,1000256 n
3375ns,1000257 n
4167ns,1000258 n
3625ns,1000259 n
4958ns,1000260 n
6417ns,1000261 n
5875ns,1000262 n
3583ns,1000263 n
3750ns,1000264 n
3500ns,1000265 n
5667ns,1000266 n
7791ns,1000267 n
3792ns,1000268 n
4708ns,1000269 n
4458ns,1000270 n
6333ns,1000271 n
3125ns,1000272 n
2917ns,1000273 n
3625ns,1000274 n
3667ns,1000275 n
3917ns,1000276 n
3500ns,1000277 n
4834ns,1000278 n
3042ns,1000279 n
3041ns,1000280 n
3333ns,1000281 n
6291ns,1000282 n
9667ns,1000283 n
3125ns,1000284 n
3000ns,1000285 n
4750ns,1000286 n
3458ns,1000287 n
2959ns,1000288 n
2958ns,1000289 n
3792ns,1000290 n
25791ns,1000291 n
3000ns,1000292 n
3708ns,1000293 n
6916ns,1000294 n
3084ns,1000295 n
3542ns,1000296 n
3792ns,1000297 n
4667ns,1000298 n
3167ns,1000299 n
3291ns,1000300 n
5958ns,1000301 n
6542ns,1000302 n
3125ns,1000303 n
6458ns,1000304 n
3583ns,1000305 n
3042ns,1000306 n
3209ns,1000307 n
3250ns,1000308 n
5125ns,1000309 n
4042ns,1000310 n
3959ns,1000311 n
3042ns,1000312 n
2916ns,1000313 n
4833ns,1000314 n
3209ns,1000315 n
4042ns,1000316 n
3125ns,1000317 n
3875ns,1000318 n
5584ns,1000319 n
3334ns,1000320 n
3208ns,1000321 n
5334ns,1000322 n
3709ns,1000323 n
3291ns,1000324 n
3375ns,1000325 n
4333ns,1000326 n
9417ns,1000327 n
3208ns,1000328 n
3541ns,1000329 n
4292ns,1000330 n
4042ns,1000331 n
3625ns,1000332 n
3042ns,1000333 n
3125ns,1000334 n
3167ns,1000335 n
4667ns,1000336 n
3250ns,1000337 n
3208ns,1000338 n
2041ns,1000339 n
3417ns,1000340 n
3292ns,1000341 n
3417ns,1000342 n
5666ns,1000343 n
3125ns,1000344 n
5000ns,1000345 n
2958ns,1000346 n
3208ns,1000347 n
4042ns,1000348 n
3125ns,1000349 n
3125ns,1000350 n
5917ns,1000351 n
4334ns,1000352 n
3417ns,1000353 n
2875ns,1000354 n
3208ns,1000355 n
3459ns,1000356 n
2833ns,1000357 n
3042ns,1000358 n
4958ns,1000359 n
4875ns,1000360 n
5167ns,1000361 n
3667ns,1000362 n
3083ns,1000363 n
3041ns,1000364 n
3459ns,1000365 n
6834ns,1000366 n
3000ns,1000367 n
3250ns,1000368 n
3292ns,1000369 n
3333ns,1000370 n
3292ns,1000371 n
4583ns,1000372 n
5458ns,1000373 n
4209ns,1000374 n
3958ns,1000375 n
3500ns,1000376 n
5125ns,1000377 n
7208ns,1000378 n
5375ns,1000379 n
3583ns,1000380 n
2958ns,1000381 n
3250ns,1000382 n
5166ns,1000383 n
2292ns,1000384 n
3083ns,1000385 n
3542ns,1000386 n
7834ns,1000387 n
3125ns,1000388 n
6250ns,1000389 n
4375ns,1000390 n
3458ns,1000391 n
5084ns,1000392 n
2792ns,1000393 n
2958ns,1000394 n
4041ns,1000395 n
7209ns,1000396 n
2834ns,1000397 n
3416ns,1000398 n
4416ns,1000399 n
3042ns,1000400 n
3167ns,1000401 n
5042ns,1000402 n
3041ns,1000403 n
5625ns,1000404 n
5666ns,1000405 n
4791ns,1000406 n
3375ns,1000407 n
3334ns,1000408 n
2917ns,1000409 n
3750ns,1000410 n
6458ns,1000411 n
3458ns,1000412 n
3542ns,1000413 n
5416ns,1000414 n
3375ns,1000415 n
2958ns,1000416 n
3333ns,1000417 n
3000ns,1000418 n
3625ns,1000419 n
3125ns,1000420 n
4750ns,1000421 n
3208ns,1000422 n
3125ns,1000423 n
2834ns,1000424 n
3292ns,1000425 n
3708ns,1000426 n
3000ns,1000427 n
3375ns,1000428 n
2917ns,1000429 n
3333ns,1000430 n
3583ns,1000431 n
3250ns,1000432 n
3666ns,1000433 n
3250ns,1000434 n
3125ns,1000435 n
3000ns,1000436 n
3250ns,1000437 n
4041ns,1000438 n
4667ns,1000439 n
3667ns,1000440 n
4250ns,1000441 n
4042ns,1000442 n
3458ns,1000443 n
4583ns,1000444 n
3333ns,1000445 n
3167ns,1000446 n
5083ns,1000447 n
2458ns,1000448 n
3541ns,1000449 n
3667ns,1000450 n
14208ns,1000451 n
5834ns,1000452 n
2833ns,1000453 n
3542ns,1000454 n
3542ns,1000455 n
5792ns,1000456 n
2791ns,1000457 n
5459ns,1000458 n
7334ns,1000459 n
3083ns,1000460 n
